HSL:6174Z;701;174Z;Kamppi-Kirkkonummi-Gesterby
HSL:1554;701;554;Itäkeskus-Malmi-Tapaninkylä
HSL:1506;701;506;Myllypuro(M)-Viikki-Kumpula-Pasila-Meilahti
HSL:2121NT;701;121NT;Kamppi-Kuitinmäki
HSL:6173Z;701;173Z;Kamppi-Kirkkonummi-Upinniemi
HSL:2231N;701;231N;Elielinaukio-Leppävaara-Lintuvaara-Järvenperä
HSL:2102T;701;102T;Kamppi-Lauttasaari-Otaniemi
HSL:2235N;701;235N;Elielinaukio-Leppävaara-Espoon keskus-Kuurinniitty
HSL:2227V;701;227V;Leppävaara-Lippajärvi-Espoon keskus
HSL:4623B;701;623B;Hakaniemi-Leinelä
HSL:2227N;701;227N;Leppävaara-Karakallio-Lippajärvi-Jorvi
HSL:2226A;701;226A;Leppävaara-Karakallio-Viherlaakso-Jorvi-Kellonummi
HSL:1603;704;603;Malmi-Oulunkylä-Koskela-Käpylä-Maunula-Pakila-Paloheinä
HSL:9785K;701;785K;Rautatientori-Kuninkaanmäki-Nikkilä
HSL:9787K;701;787K;Rautatientori-Kuninkaanmäki-Nikkilä-Pornainen
HSL:9787A;701;787A;Rautatientori-Jokivarsi-Nikkilä-Pornainen-Halkia
HSL:4624N;701;624N;Tikkurila-Ruskeasanta-Ilola-Leinelä
HSL:9788K;701;788K;Rautatientori-Kuninkaanmäki-Nikkilä-Hinthaara-Porvoo
HSL:9788B;701;788B;Nikkilä-Hinthaara-Porvoo
HSL:2553;701;553;Hakunila-Malmi-Maunula-Leppävaara
HSL:2552;701;552;Malmi-Maunula-Munkkiniemi-Otaniemi
HSL:2551;701;551;Pasila-Meilahti-Westendinasema
HSL:2550;702;550;Itäkeskus-Westendinasema
HSL:2543;701;543;Leppävaara-Kivenlahti
HSL:2582;701;582;Espoon keskus-Juvanmalmi-Kalajärvi-Serena
HSL:1001H;0;1H;Hattulantie - Käpylä
HSL:7486;700;486;Kamppi-Keimola-Luhtaanmäki (-Klaukkala)
HSL:7485;700;485;Kamppi-Keimola-Syväoja (-Hyvinkää)
HSL:7480;700;480;Kamppi-Keimola-Luhtaanmäki (-Klaukkala)
HSL:6182;701;182;Kirkkonummi-Siuntio
HSL:6181;701;181;Kirkkonummi-Siuntio
HSL:6171;701;171;Kamppi-Masala-Kirkkonummi
